Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1997,1997,hg/ha,79050,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1998,1998,hg/ha,77453,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1999,1999,hg/ha,82865,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2000,2000,hg/ha,34938,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2001,2001,hg/ha,44458,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2002,2002,hg/ha,42190,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2003,2003,hg/ha,38231,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2004,2004,hg/ha,45360,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2005,2005,hg/ha,46159,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2006,2006,hg/ha,44240,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2007,2007,hg/ha,58855,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2008,2008,hg/ha,65437,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2009,2009,hg/ha,66475,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2010,2010,hg/ha,63001,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2011,2011,hg/ha,65512,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2012,2012,hg/ha,52954,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2013,2013,hg/ha,73409,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2014,2014,hg/ha,114342,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2015,2015,hg/ha,115174,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2016,2016,hg/ha,111218,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2017,2017,hg/ha,86022,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2018,2018,hg/ha,94719,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2019,2019,hg/ha,94246,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,2020,2020,hg/ha,94574,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1961,1961,tonnes,90000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1962,1962,tonnes,100000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1963,1963,tonnes,125000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1964,1964,tonnes,140000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1965,1965,tonnes,150000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1966,1966,tonnes,125000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1967,1967,tonnes,145000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1968,1968,tonnes,140000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1969,1969,tonnes,145000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1970,1970,tonnes,147000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1971,1971,tonnes,150000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1972,1972,tonnes,155000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1973,1973,tonnes,160000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1974,1974,tonnes,160000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1975,1975,tonnes,160000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1976,1976,tonnes,161000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1977,1977,tonnes,162000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1978,1978,tonnes,162000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1979,1979,tonnes,162000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1980,1980,tonnes,165000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1981,1981,tonnes,165000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1982,1982,tonnes,165000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1983,1983,tonnes,165000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1984,1984,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1985,1985,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1986,1986,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1987,1987,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1988,1988,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1989,1989,tonnes,165000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1990,1990,tonnes,164899,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1991,1991,tonnes,170000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1992,1992,tonnes,180000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1993,1993,tonnes,185000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1994,1994,tonnes,180000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1995,1995,tonnes,185000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1996,1996,tonnes,188000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1997,1997,tonnes,189000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1998,1998,tonnes,190000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,1999,1999,tonnes,182303,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2000,2000,tonnes,224043,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2001,2001,tonnes,353228,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2002,2002,tonnes,423141,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2003,2003,tonnes,543319,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2004,2004,tonnes,629573,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2005,2005,tonnes,663787,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2006,2006,tonnes,684756,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2007,2007,tonnes,949104,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2008,2008,tonnes,819772,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2009,2009,tonnes,982588,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2010,2010,tonnes,986563,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2011,2011,tonnes,1045104,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2012,2012,tonnes,644854,A,Official figure
